






min: -5620907386700035832,max: -5620722919259298741
min: -4602462646390531028,max: -4602278178949793933
min: -4602278178949793932,max: -4602093711509056837
min: -4602093711509056836,max: -4601909244068319741
min: -4601909244068319740,max: -4601724776627582645
min: -4601724776627582644,max: -4601540309186845549
min: -4601540309186845548,max: -4601355841746108453
min: -4601355841746108452,max: -4601171374305371357
min: -4601171374305371356,max: -4600986906864634261
min: -4600986906864634260,max: -4600802439423897165
min: -4600802439423897164,max: -4600617971983160073
min: -1697100454781275328,max: -1696915987340538233
min: -1696915987340538232,max: -1696731519899801137
min: -1696731519899801136,max: -1696547052459064041
min: -1696547052459064040,max: -1696362585018326945
min: -1696362585018326944,max: -1696178117577589849
min: -1696178117577589848,max: -1695993650136852753
min: -1695993650136852752,max: -1695809182696115657
min: -1695809182696115656,max: -1695624715255378561
min: -1695624715255378560,max: -1695440247814641465
min: -1695440247814641464,max: -1695255780373904373
min: 6744129633348219328,max: 6744314100788956423
min: 6744314100788956424,max: 6744498568229693519
min: 6744498568229693520,max: 6744683035670430615
min: 6744683035670430616,max: 6744867503111167711
min: 6744867503111167712,max: 6745051970551904807
min: 6745051970551904808,max: 6745236437992641903
min: 6745236437992641904,max: 6745420905433378999
min: 6745420905433379000,max: 6745605372874116095
min: 6745605372874116096,max: 6745789840314853191
min: 6745789840314853192,max: 6745974307755590283
min: -6714614842830275648,max: -6714430375389538553
min: -6714430375389538552,max: -6714245907948801457
min: -6714245907948801456,max: -6714061440508064361
min: -6714061440508064360,max: -6713876973067327265
min: -6713876973067327264,max: -6713692505626590169
min: -6713692505626590168,max: -6713508038185853073
min: -6713508038185853072,max: -6713323570745115977
min: -6713323570745115976,max: -6713139103304378881
min: -6713139103304378880,max: -6712954635863641785
min: -6712954635863641784,max: -6712770168422904693
min: -2658175821021543404,max: -2657991353580806309
min: -2657991353580806308,max: -2657806886140069213
min: -2657806886140069212,max: -2657622418699332117
min: -2657622418699332116,max: -2657437951258595021
min: -2657437951258595020,max: -2657253483817857925
min: -2657253483817857924,max: -2657069016377120829
min: -2657069016377120828,max: -2656884548936383733
min: -2656884548936383732,max: -2656700081495646637
min: -2656700081495646636,max: -2656515614054909541
min: -2656515614054909540,max: -2656331146614172449
min: 8583270017497062460,max: 8583454484937799555
min: 8583454484937799556,max: 8583638952378536651
min: 8583638952378536652,max: 8583823419819273747
min: 8583823419819273748,max: 8584007887260010843
min: 8584007887260010844,max: 8584192354700747939
min: 8584192354700747940,max: 8584376822141485035
min: 8584376822141485036,max: 8584561289582222131
min: 8584561289582222132,max: 8584745757022959227
min: 8584745757022959228,max: 8584930224463696323
min: 8584930224463696324,max: 8585114691904433415
min: 4962174155827875832,max: 4962358623268612927
min: 4962358623268612928,max: 4962543090709350023
min: 4962543090709350024,max: 4962727558150087119
min: 4962727558150087120,max: 4962912025590824215
min: 4962912025590824216,max: 4963096493031561311
min: 4963096493031561312,max: 4963280960472298407
min: 4963280960472298408,max: 4963465427913035503
min: 4963465427913035504,max: 4963649895353772599
min: 4963649895353772600,max: 4963834362794509695
min: 4963834362794509696,max: 4964018830235246787
min: -1796712872779306952,max: -1796528405338569857
min: -1796528405338569856,max: -1796343937897832761
min: -1796343937897832760,max: -1796159470457095665
min: -1796159470457095664,max: -1795975003016358569
min: -1795975003016358568,max: -1795790535575621473
min: -1795790535575621472,max: -1795606068134884377
min: -1795606068134884376,max: -1795421600694147281
min: -1795421600694147280,max: -1795237133253410185
min: -1795237133253410184,max: -1795052665812673089
min: -1795052665812673088,max: -1794868198371935997
min: 8450453460166353628,max: 8450637927607090723
min: 8450637927607090724,max: 8450822395047827819
min: 8450822395047827820,max: 8451006862488564915
min: 8451006862488564916,max: 8451191329929302011
min: 8451191329929302012,max: 8451375797370039107
min: 8451375797370039108,max: 8451560264810776203
min: 8451560264810776204,max: 8451744732251513299
min: 8451744732251513300,max: 8451929199692250395
min: 8451929199692250396,max: 8452113667132987491
min: 8452113667132987492,max: 8452298134573724583
min: 6895392934752637720,max: 6895577402193374815
min: 6895577402193374816,max: 6895761869634111911
min: 6895761869634111912,max: 6895946337074849007
min: 6895946337074849008,max: 6896130804515586103
min: 6896130804515586104,max: 6896315271956323199
min: 6896315271956323200,max: 6896499739397060295
min: 6896499739397060296,max: 6896684206837797391
min: 6896684206837797392,max: 6896868674278534487
min: 6896868674278534488,max: 6897053141719271583
min: 6897053141719271584,max: 6897237609160008675
min: 112525138849632508,max: 112709606290369603
min: 112709606290369604,max: 112894073731106699
min: 112894073731106700,max: 113078541171843795
min: 113078541171843796,max: 113263008612580891
min: 113263008612580892,max: 113447476053317987
min: 113447476053317988,max: 113631943494055083
min: 113631943494055084,max: 113816410934792179
min: 113816410934792180,max: 114000878375529275
min: 114000878375529276,max: 114185345816266371
min: 114185345816266372,max: 114369813257003463
min: 7782681324698067556,max: 7782865792138804651
min: 7782865792138804652,max: 7783050259579541747
min: 7783050259579541748,max: 7783234727020278843
min: 7783234727020278844,max: 7783419194461015939
min: 7783419194461015940,max: 7783603661901753035
min: 7783603661901753036,max: 7783788129342490131
min: 7783788129342490132,max: 7783972596783227227
min: 7783972596783227228,max: 7784157064223964323
min: 7784157064223964324,max: 7784341531664701419
min: 7784341531664701420,max: 7784525999105438511
min: 5439944827336953436,max: 5440129294777690531
min: 5440129294777690532,max: 5440313762218427627
min: 5440313762218427628,max: 5440498229659164723
min: 5440498229659164724,max: 5440682697099901819
min: 5440682697099901820,max: 5440867164540638915
min: 5440867164540638916,max: 5441051631981376011
min: 5441051631981376012,max: 5441236099422113107
min: 5441236099422113108,max: 5441420566862850203
min: 5441420566862850204,max: 5441605034303587299
min: 5441605034303587300,max: 5441789501744324391
min: 876220343501208292,max: 876404810941945387
min: 876404810941945388,max: 876589278382682483
min: 876589278382682484,max: 876773745823419579
min: 876773745823419580,max: 876958213264156675
min: 876958213264156676,max: 877142680704893771
min: 877142680704893772,max: 877327148145630867
min: 877327148145630868,max: 877511615586367963
min: 877511615586367964,max: 877696083027105059
min: 877696083027105060,max: 877880550467842155
min: 877880550467842156,max: 878065017908579247
min: -4847804342570868176,max: -4847619875130131081
min: -4847619875130131080,max: -4847435407689393985
min: -4847435407689393984,max: -4847250940248656889
min: -4847250940248656888,max: -4847066472807919793
min: -4847066472807919792,max: -4846882005367182697
min: -4846882005367182696,max: -4846697537926445601
min: -4846697537926445600,max: -4846513070485708505
min: -4846513070485708504,max: -4846328603044971409
min: -4846328603044971408,max: -4846144135604234313
min: -4846144135604234312,max: -4845959668163497221
min: -8660746342606634228,max: -8660561875165897133
min: -8660561875165897132,max: -8660377407725160037
min: -8660377407725160036,max: -8660192940284422941
min: -8660192940284422940,max: -8660008472843685845
min: -8660008472843685844,max: -8659824005402948749
min: -8659824005402948748,max: -8659639537962211653
min: -8659639537962211652,max: -8659455070521474557
min: -8659455070521474556,max: -8659270603080737461
min: -8659270603080737460,max: -8659086135640000365
min: -8659086135640000364,max: -8658901668199263273
min: -1877878546703629016,max: -1877694079262891921
min: -1877694079262891920,max: -1877509611822154825
min: -1877509611822154824,max: -1877325144381417729
min: -1877325144381417728,max: -1877140676940680633
min: -1877140676940680632,max: -1876956209499943537
min: -1876956209499943536,max: -1876771742059206441
min: -1876771742059206440,max: -1876587274618469345
min: -1876587274618469344,max: -1876402807177732249
min: -1876402807177732248,max: -1876218339736995153
min: -1876218339736995152,max: -1876033872296258061
min: -156797324626527068,max: -156612857185789973
min: -156612857185789972,max: -156428389745052877
min: -156428389745052876,max: -156243922304315781
min: -156243922304315780,max: -156059454863578685
min: -156059454863578684,max: -155874987422841589
min: -155874987422841588,max: -155690519982104493
min: -155690519982104492,max: -155506052541367397
min: -155506052541367396,max: -155321585100630301
min: -155321585100630300,max: -155137117659893205
min: -155137117659893204,max: -154952650219156113
min: 8444919436944240760,max: 8445103904384977855
min: 8445103904384977856,max: 8445288371825714951
min: 8445288371825714952,max: 8445472839266452047
min: 8445472839266452048,max: 8445657306707189143
min: 8445657306707189144,max: 8445841774147926239
min: 8445841774147926240,max: 8446026241588663335
min: 8446026241588663336,max: 8446210709029400431
min: 8446210709029400432,max: 8446395176470137527
min: 8446395176470137528,max: 8446579643910874623
min: 8446579643910874624,max: 8446764111351611715
min: 870686320279095424,max: 870870787719832519
min: 870870787719832520,max: 871055255160569615
min: 871055255160569616,max: 871239722601306711
min: 871239722601306712,max: 871424190042043807
min: 871424190042043808,max: 871608657482780903
min: 871608657482780904,max: 871793124923517999
min: 871793124923518000,max: 871977592364255095
min: 871977592364255096,max: 872162059804992191
min: 872162059804992192,max: 872346527245729287
min: 872346527245729288,max: 872530994686466379
min: -684374205134620484,max: -684189737693883389
min: -684189737693883388,max: -684005270253146293
min: -684005270253146292,max: -683820802812409197
min: -683820802812409196,max: -683636335371672101
min: -683636335371672100,max: -683451867930935005
min: -683451867930935004,max: -683267400490197909
min: -683267400490197908,max: -683082933049460813
min: -683082933049460812,max: -682898465608723717
min: -682898465608723716,max: -682713998167986621
min: -682713998167986620,max: -682529530727249529
min: 7137045282118232956,max: 7137229749558970051
min: 7137229749558970052,max: 7137414216999707147
min: 7137414216999707148,max: 7137598684440444243
